            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458034.500000000, A.D. 2017-Oct-08 00:00:00.0000, -5.910771861260422E+07, -1.301406368874564E+07,  4.359113045219796E+06,
2458035.500000000, A.D. 2017-Oct-09 00:00:00.0000, -5.894759175841156E+07, -1.691203093794505E+07,  4.025908792467146E+06,
2458036.500000000, A.D. 2017-Oct-10 00:00:00.0000, -5.853590111283618E+07, -2.073792947065487E+07,  3.675515051070118E+06,
2458037.500000000, A.D. 2017-Oct-11 00:00:00.0000, -5.788334474963770E+07, -2.447859180308694E+07,  3.309989215652100E+06,
2458038.500000000, A.D. 2017-Oct-12 00:00:00.0000, -5.700072918889944E+07, -2.812205320129928E+07,  2.931300349383079E+06,
2458039.500000000, A.D. 2017-Oct-13 00:00:00.0000, -5.589889468295814E+07, -3.165744376988978E+07,  2.541331147480516E+06,
2458040.500000000, A.D. 2017-Oct-14 00:00:00.0000, -5.458865798484331E+07, -3.507488707784920E+07,  2.141880970381659E+06,
2458041.500000000, A.D. 2017-Oct-15 00:00:00.0000, -5.308076970653591E+07, -3.836540597409710E+07,  1.734669627892641E+06,
2458042.500000000, A.D. 2017-Oct-16 00:00:00.0000, -5.138588377942002E+07, -4.152083585896084E+07,  1.321341664342912E+06,
2458043.500000000, A.D. 2017-Oct-17 00:00:00.0000, -4.951453690278269E+07, -4.453374540654802E+07,  9.034709512064476E+05,
2458044.500000000, A.D. 2017-Oct-18 00:00:00.0000, -4.747713620131405E+07, -4.739736454966798E+07,  4.825654393702745E+05,
2458045.500000000, A.D. 2017-Oct-19 00:00:00.0000, -4.528395360729216E+07, -5.010551942194550E+07,  6.007195983120799E+04,
2458046.500000000, A.D. 2017-Oct-20 00:00:00.0000, -4.294512573850110E+07, -5.265257388387491E+07, -3.626190094234459E+05,
2458047.500000000, A.D. 2017-Oct-21 00:00:00.0000, -4.047065826162699E+07, -5.503337722747400E+07, -7.841686699103490E+05,
2458048.500000000, A.D. 2017-Oct-22 00:00:00.0000, -3.787043391645477E+07, -5.724321764776376E+07, -1.203285364527971E+06,
2458049.500000000, A.D. 2017-Oct-23 00:00:00.0000, -3.515422353249013E+07, -5.927778108089340E+07, -1.618720203434724E+06,
2458050.500000000, A.D. 2017-Oct-24 00:00:00.0000, -3.233169950044688E+07, -6.113311503272119E+07, -2.029262872503247E+06,
2458051.500000000, A.D. 2017-Oct-25 00:00:00.0000, -2.941245126991004E+07, -6.280559705396175E+07, -2.433737635578595E+06,
2458052.500000000, A.D. 2017-Oct-26 00:00:00.0000, -2.640600253459223E+07, -6.429190755572888E+07, -2.830999536583655E+06,
2458053.500000000, A.D. 2017-Oct-27 00:00:00.0000, -2.332182984072426E+07, -6.558900670044827E+07, -3.219930804077104E+06,
2458054.500000000, A.D. 2017-Oct-28 00:00:00.0000, -2.016938241463154E+07, -6.669411514638853E+07, -3.599437458854239E+06,
2458055.500000000, A.D. 2017-Oct-29 00:00:00.0000, -1.695810305441176E+07, -6.760469846867289E+07, -3.968446124343470E+06,
2458056.500000000, A.D. 2017-Oct-30 00:00:00.0000, -1.369744996943817E+07, -6.831845512519103E+07, -4.325901039713826E+06,
2458057.500000000, A.D. 2017-Oct-31 00:00:00.0000, -1.039691948139572E+07, -6.883330788221686E+07, -4.670761276648514E+06,
2458058.500000000, A.D. 2017-Nov-01 00:00:00.0000, -7.066069522609110E+06, -6.914739866185635E+07, -5.001998162582956E+06,
2458059.500000000, A.D. 2017-Nov-02 00:00:00.0000, -3.714543882112184E+06, -6.925908682195464E+07, -5.318592915821549E+06,
2458060.500000000, A.D. 2017-Nov-03 00:00:00.0000, -3.520971574889090E+05, -6.916695092914924E+07, -5.619534501342550E+06,
2458061.500000000, A.D. 2017-Nov-04 00:00:00.0000,  3.011379629081408E+06, -6.886979413780466E+07, -5.903817720316119E+06,
2458062.500000000, A.D. 2017-Nov-05 00:00:00.0000,  6.365832799321165E+06, -6.836665334206681E+07, -6.170441551473342E+06,
2458063.500000000, A.D. 2017-Nov-06 00:00:00.0000,  9.701019236164818E+06, -6.765681232570532E+07, -6.418407768580448E+06,
2458064.500000000, A.D. 2017-Nov-07 00:00:00.0000,  1.300647913918354E+07, -6.673981919517272E+07, -6.646719865534276E+06,
2458065.500000000, A.D. 2017-Nov-08 00:00:00.0000,  1.627150844356829E+07, -6.561550844571020E+07, -6.854382329172455E+06,
2458066.500000000, A.D. 2017-Nov-09 00:00:00.0000,  1.948513107748828E+07, -6.428402807847465E+07, -7.040400309990305E+06,
2458067.500000000, A.D. 2017-Nov-10 00:00:00.0000,  2.263607129794578E+07, -6.274587225836703E+07, -7.203779752806008E+06,
2458068.500000000, A.D. 2017-Nov-11 00:00:00.0000,  2.571272642984927E+07, -6.100192007686549E+07, -7.343528063275117E+06,
2458069.500000000, A.D. 2017-Nov-12 00:00:00.0000,  2.870314044104772E+07, -5.905348106042163E+07, -7.458655402296029E+06,
2458070.500000000, A.D. 2017-Nov-13 00:00:00.0000,  3.159497892246234E+07, -5.690234814064524E+07, -7.548176719043676E+06,
2458071.500000000, A.D. 2017-Nov-14 00:00:00.0000,  3.437550621306714E+07, -5.455085887407096E+07, -7.611114654869266E+06,
2458072.500000000, A.D. 2017-Nov-15 00:00:00.0000,  3.703156562105484E+07, -5.200196576147902E+07, -7.646503474795043E+06,
2458073.500000000, A.D. 2017-Nov-16 00:00:00.0000,  3.954956395265187E+07, -4.925931656183081E+07, -7.653394210881753E+06,
2458074.500000000, A.D. 2017-Nov-17 00:00:00.0000,  4.191546187687607E+07, -4.632734551297595E+07, -7.630861232209230E+06,
2458075.500000000, A.D. 2017-Nov-18 00:00:00.0000,  4.411477203634246E+07, -4.321137634528984E+07, -7.578010489113390E+06,
2458076.500000000, A.D. 2017-Nov-19 00:00:00.0000,  4.613256726856515E+07, -3.991773788483784E+07, -7.493989713686170E+06,
2458077.500000000, A.D. 2017-Nov-20 00:00:00.0000,  4.795350183451395E+07, -3.645389286235398E+07, -7.378000892644895E+06,
2458078.500000000, A.D. 2017-Nov-21 00:00:00.0000,  4.956184916261017E+07, -3.282858023797541E+07, -7.229315359737879E+06,
2458079.500000000, A.D. 2017-Nov-22 00:00:00.0000,  5.094156030053180E+07, -2.905197087464396E+07, -7.047291878639933E+06,
2458080.500000000, A.D. 2017-Nov-23 00:00:00.0000,  5.207634800565445E+07, -2.513583569064018E+07, -6.831398097638860E+06,
2458081.500000000, A.D. 2017-Nov-24 00:00:00.0000,  5.294980216075847E+07, -2.109372442946780E+07, -6.581235745671533E+06,
2458082.500000000, A.D. 2017-Nov-25 00:00:00.0000,  5.354554291119854E+07, -1.694115183179402E+07, -6.296569893764145E+06,
2458083.500000000, A.D. 2017-Nov-26 00:00:00.0000,  5.384741848282985E+07, -1.269578620695733E+07, -5.977362511552924E+06,
2458084.500000000, A.D. 2017-Nov-27 00:00:00.0000,  5.383975490867332E+07, -8.377633118926584E+06, -5.623810386690469E+06,
2458085.500000000, A.D. 2017-Nov-28 00:00:00.0000,  5.350766466074011E+07, -4.009204091755456E+06, -5.236387224099119E+06,
2458086.500000000, A.D. 2017-Nov-29 00:00:00.0000,  5.283742018200806E+07,  3.843430699818132E+05, -4.815889379728177E+06,
2458087.500000000, A.D. 2017-Nov-30 00:00:00.0000,  5.181689621343865E+07,  4.775109432335909E+06, -4.363484189937208E+06,
2458088.500000000, A.D. 2017-Dec-01 00:00:00.0000,  5.043608124769524E+07,  9.132426418614145E+06, -3.880759222079984E+06,
2458089.500000000, A.D. 2017-Dec-02 00:00:00.0000,  4.868765306833407E+07,  1.342291788738702E+07, -3.369770001786347E+06,
2458090.500000000, A.D. 2017-Dec-03 00:00:00.0000,  4.656760591625801E+07,  1.761067933852053E+07, -2.833082905638586E+06,
2458091.500000000, A.D. 2017-Dec-04 00:00:00.0000,  4.407590738187836E+07,  2.165760097779132E+07, -2.273809025763231E+06,
2458092.500000000, A.D. 2017-Dec-05 00:00:00.0000,  4.121715209831253E+07,  2.552385832099804E+07, -1.695624050795398E+06,
2458093.500000000, A.D. 2017-Dec-06 00:00:00.0000,  3.800116776218771E+07,  2.916858656830930E+07, -1.102768756967058E+06,
2458094.500000000, A.D. 2017-Dec-07 00:00:00.0000,  3.444351870752171E+07,  3.255074228891871E+07, -5.000247950419486E+05,
2458095.500000000, A.D. 2017-Dec-08 00:00:00.0000,  3.056584564197908E+07,  3.563013793701473E+07,  1.073386757555567E+05,
2458096.500000000, A.D. 2017-Dec-09 00:00:00.0000,  2.639597999946190E+07,  3.836861249664485E+07,  7.136501539776474E+05,
2458097.500000000, A.D. 2017-Dec-10 00:00:00.0000,  2.196778013627861E+07,  4.073127776753560E+07,  1.312952661069661E+06,
2458098.500000000, A.D. 2017-Dec-11 00:00:00.0000,  1.732065556909256E+07,  4.268775853712100E+07,  1.899148725909771E+06,
2458099.500000000, A.D. 2017-Dec-12 00:00:00.0000,  1.249877380781432E+07,  4.421333100678953E+07,  2.466166174081830E+06,
2458100.500000000, A.D. 2017-Dec-13 00:00:00.0000,  7.549978696392394E+06,  4.528986179956058E+07,  3.008134088267485E+06,
2458101.500000000, A.D. 2017-Dec-14 00:00:00.0000,  2.524483891265273E+06,  4.590646221383864E+07,  3.519556129357206E+06,
2458102.500000000, A.D. 2017-Dec-15 00:00:00.0000, -2.526566523832930E+06,  4.605979854763129E+07,  3.995467942911282E+06,
2458103.500000000, A.D. 2017-Dec-16 00:00:00.0000, -7.552562187231550E+06,  4.575403533006494E+07,  4.431566841207923E+06,
2458104.500000000, A.D. 2017-Dec-17 00:00:00.0000, -1.250480676707252E+07,  4.500042763070382E+07,  4.824305118746407E+06,
2458105.500000000, A.D. 2017-Dec-18 00:00:00.0000, -1.733772061434266E+07,  4.381661397451729E+07,  5.170942605310353E+06,
2458106.500000000, A.D. 2017-Dec-19 00:00:00.0000, -2.200979831212942E+07,  4.222568675695374E+07,  5.469558552114088E+06,
2458107.500000000, A.D. 2017-Dec-20 00:00:00.0000, -2.648428574136984E+07,  4.025512920600310E+07,  5.719026881601144E+06,
